Key	IDprojetCLE	ProjetCLE	DivulgationCle	FlagMidif	rien
F-1201495		Aucun		MODIFIE	
DBI-062598		Aucun		MODIFIE	
F-1328865		Aucun		MODIFIE	
F-1341465	 	Aucun		MODIFIE	
F-1342471		Aucun		MODIFIE	
F-1350555		Aucun		MODIFIE	
F-1222636		Aucun		MODIFIE	
F-1475857		Aucun		MODIFIE	
F-1551327		Aucun		MODIFIE	
DBI-033004		Aucun		MODIFIE	
F-1341912		Aucun		MODIFIE	
F-1373633		Aucun		MODIFIE	
F-1416390		Aucun		MODIFIE	
F-1490082		Aucun		MODIFIE	
F-1529352		Aucun		MODIFIE	
DBI-040487		Aucun		MODIFIE	
F-1372675		Aucun		MODIFIE	
F-1419043		Aucun		MODIFIE	
F-1206726		Aucun		MODIFIE	
F-1584442		Aucun		MODIFIE	
DBI-052572		Aucun		MODIFIE	
F-1369437		Aucun		MODIFIE	
F-1409292		Aucun		MODIFIE	
F-1429389		Aucun		MODIFIE	
F-1433700		Aucun		MODIFIE	
F-1470388		Aucun		MODIFIE	
F-1504490		Aucun		MODIFIE	
F-1588017		Aucun		MODIFIE	
DBI-066410		Aucun		MODIFIE	
F-1349603		Aucun		MODIFIE	
F-1417321		Aucun		MODIFIE	
F-1453136		Aucun		MODIFIE	
F-1451792		Aucun		MODIFIE	
F-1536566		Aucun		MODIFIE	
DBI-064237		Aucun		MODIFIE	
F-1589854		Aucun		MODIFIE	
DBI-064244		Aucun		MODIFIE	
F-1352432		Aucun		MODIFIE	
F-1435738		Aucun		MODIFIE	
F-1471667		Aucun		MODIFIE	
F-1505462		Aucun		MODIFIE	
BV-193605		Aucun		MODIFIE	
F-1430385		Aucun		MODIFIE	
F-1316769		Aucun		MODIFIE	
F-1406493		Aucun		MODIFIE	
F-1535861		Aucun		MODIFIE	
F-1361228		Aucun		MODIFIE	
DBI-081194		Aucun		MODIFIE	
F-1343727		Aucun		MODIFIE	
F-1384843		Aucun		MODIFIE	
DBI-043245		Aucun		MODIFIE	
F-1433711		Aucun		MODIFIE	
F-1507555		Aucun		MODIFIE	
F-1457426		Aucun		MODIFIE	
F-1492110		Aucun		MODIFIE	
F-1413922		Aucun		MODIFIE	
F-1471668		Aucun		MODIFIE	
F-1533591		Aucun		MODIFIE	
D-14-006142		Aucun		MODIFIE	
DBI-043246		Aucun		MODIFIE	
F-1371078		Aucun		MODIFIE	
F-1441829		Aucun		MODIFIE	
F-1544963		Aucun		MODIFIE	
F-1407089		Aucun		MODIFIE	
F-1445198		Aucun		MODIFIE	
F-1361234		Aucun		MODIFIE	
F-1407088		Aucun		MODIFIE	
F-1435745		Aucun		MODIFIE	
F-1586668		Aucun		MODIFIE	
F-1373616		Aucun		MODIFIE	
F-1498951		Aucun		MODIFIE	
F-1531911		Aucun		MODIFIE	
F-1583738		Aucun		MODIFIE	
BV-106615		Aucun		MODIFIE	
F-1349630		Aucun		MODIFIE	
F-1373618		Aucun		MODIFIE	
F-1407960		Aucun		MODIFIE	
F-1428329		Aucun		MODIFIE	
F-1435200		Aucun		MODIFIE	
F-1347833		Aucun		MODIFIE	
F-1369366		Aucun		MODIFIE	
F-1371199		Aucun		MODIFIE	
F-1391314		Aucun		MODIFIE	
DBI-053765		Aucun		MODIFIE	
F-1289391		Aucun		MODIFIE	
F-1349621		Aucun		MODIFIE	
F-1373612		Aucun		MODIFIE	
F-1393047		Aucun		MODIFIE	
F-1465219		Aucun		MODIFIE	
F-1488343		Aucun		MODIFIE	
F-1504279		Aucun		MODIFIE	
F-1549719		Aucun		MODIFIE	
DBI-036426		Aucun		MODIFIE	
F-1372651		Aucun		MODIFIE	
F-1423471		Aucun		MODIFIE	
F-1530256		Aucun		MODIFIE	
DBI-028700		Aucun		MODIFIE	
DBI-097160		Aucun		MODIFIE	
F-1351232		Aucun		MODIFIE	
F-1361238		Aucun		MODIFIE	
F-1373264		Aucun		MODIFIE	
F-1451793		Aucun		MODIFIE	
F-1516041		Aucun		MODIFIE	
DBI-028699		Aucun		MODIFIE	
BV-141455		Aucun		MODIFIE	
BV-141456		Aucun		MODIFIE	
F-1222666		Aucun		MODIFIE	
F-1399340		Aucun		MODIFIE	
F-1386588		Aucun		MODIFIE	
F-1410124		Aucun		MODIFIE	
F-1468833		Aucun		MODIFIE	
F-1596674		Aucun		MODIFIE	
DBI-043247		Aucun		MODIFIE	
F-1372668		Aucun		MODIFIE	
F-1375008		Aucun		MODIFIE	
F-1417326		Aucun		MODIFIE	
F-1461589		Aucun		MODIFIE	
F-1479559		Aucun		MODIFIE	
F-1520106		Aucun		MODIFIE	
F-1558731		Aucun		MODIFIE	
F-1522057		Aucun		MODIFIE	
F-1467645		Aucun		MODIFIE	
F-1574851		Aucun		MODIFIE	
F-2616487		Aucun		MODIFIE	
F-2636781		Aucun		MODIFIE	
F-2673650		Aucun		MODIFIE	
F-1984924		Aucun		MODIFIE	
D-18-46827		Aucun		MODIFIE	
D-18-49488		Aucun		MODIFIE	
D-18-52017		Aucun		MODIFIE	
D-18-52881		Aucun		MODIFIE	
D-19-68102		Aucun		MODIFIE	
D-20-81547		Aucun		MODIFIE	
D-21-121089		Aucun		MODIFIE	
F-2132259		Aucun		MODIFIE	
F-2381599		Aucun		MODIFIE	
F-2414579		Aucun		MODIFIE	
F-2563306		Aucun		MODIFIE	
F-2043741		Aucun		MODIFIE	
D-17-34943		Aucun		MODIFIE	
F-1978525		Aucun		MODIFIE	
